accession	species	superkingdom	phylum	class	order	family	genus	data_type
Burkholderiaceae_bacterium_b-proteobacteria_GCA_965284495.1	Burkholderiaceae bacterium		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae		supervised
Maribacter_litoralis_CFB_group_bacteria_GCF_965284485.1	Maribacter litoralis		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	supervised
Pseudomonas_aeruginosa_PAO1_g-proteobacteria_GCF_050498615.1	Pseudomonas aeruginosa		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Lactiplantibacillus_pentosus_firmicutes_GCF_050407965.1	Lactiplantibacillus pentosus		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	supervised
Gluconobacter_japonicus_a-proteobacteria_GCF_050500265.1	Gluconobacter japonicus		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	supervised
GCF_000178055.1_ASM17805v1_genomic	Cutibacterium acnes		Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	supervised
Glaesserella_parasuis_g-proteobacteria_GCF_048551495.1	Glaesserella parasuis		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Glaesserella	supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408155.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Pantoea_sp._FN060301_enterobacteria_GCF_050410775.1	Pantoea sp. FN060301		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	supervised
Sphingomonas_sp._Xoc002_a-proteobacteria_GCF_050408055.1	Sphingomonas sp. Xoc002		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	supervised
GCF_001293935.1_Por36_1_genomic	Pseudomonas coronafaciens		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Lacticaseibacillus_rhamnosus_firmicutes_GCF_050367955.1	Lacticaseibacillus rhamnosus		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047446435.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
GCF_000091205.1_ASM9120v1_genomic	Cyanidioschyzon merolae		Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	supervised
GCF_000149245.1_CNA3_genomic	Cryptococcus neoformans		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	supervised
Hydrogenophaga_sp._b-proteobacteria_GCF_965284525.1	Hydrogenophaga sp.		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	supervised
GCF_000002435.1_GL2_genomic	GCF_000002435.1_GL2_genomic							supervised
GCF_001700755.1_ASM170075v1_genomic	GCF_001700755.1_ASM170075v1_genomic							supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408145.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Pseudomonas_fulva_g-proteobacteria_GCA_050517415.1	Pseudomonas fulva		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Escherichia_coli_E._coli_GCA_047865785.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
Phragmitibacter_sp._verrucomicrobia_GCA_965284365.1	Phragmitibacter sp.		Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Phragmitibacter	supervised
Escherichia_coli_E._coli_GCA_050516385.1	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
Klebsiella_pneumoniae_enterobacteria_GCF_050425265.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
GCF_000497125.1_ASM49712v2_genomic	Spironucleus salmonicida		Fornicata		Diplomonadida	Hexamitidae	Spironucleus	supervised
Hyphomonas_sp._a-proteobacteria_GCF_965284475.1	Hyphomonas sp.		Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas	supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408045.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Fontivita_pretiosa_bacteria_GCF_050410795.1	Fontivita pretiosa		Planctomycetota	Phycisphaerae	Tepidisphaerales		Fontivita	supervised
Salmonella_enterica_enterobacteria_GCA_050516495.1	Salmonella enterica		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	supervised
Micromonospora_echinospora_high_G+C_Gram-positive_bacteria_GCA_050507505.1	Micromonospora echinospora		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	supervised
Streptomyces_sp._ACT015_high_G+C_Gram-positive_bacteria_GCF_050389815.1	Streptomyces sp. ACT015		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised
Ralstonia_pseudosolanacearum_b-proteobacteria_GCA_050516445.1	Ralstonia pseudosolanacearum		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	supervised
Synechococcus_elongatus_M14.2_cyanobacteria_GCF_050422935.1	Synechococcus elongatus		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised
Vibrio_alginolyticus_g-proteobacteria_GCF_050507685.1	Vibrio alginolyticus		Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	supervised
Methyloversatilis_sp._b-proteobacteria_GCF_965284615.1	Methyloversatilis sp.		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	supervised
Clostridium_butyricum_firmicutes_GCF_050366995.1	Clostridium butyricum		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	supervised
Staphylococcus_sp._50Mo3-2_firmicutes_GCF_040628475.2	Staphylococcus sp. 50Mo3-2		Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	supervised
Methylibium_petroleiphilum_b-proteobacteria_GCF_965284595.1	Methylibium petroleiphilum		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Methylibium	supervised
Streptomyces_pseudogriseolus_high_G+C_Gram-positive_bacteria_GCA_050429535.1	Streptomyces pseudogriseolus		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised
Bacillus_cereus_group_sp._BfR-BA-01700_firmicutes_GCF_033841795.2	Bacillus cereus group sp. BfR-BA-01700		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	supervised
GCF_000341285.1_ASM34128v1_genomic	Galdieria sulphuraria		Rhodophyta	Bangiophyceae	Galdieriales	Galdieriaceae	Galdieria	supervised
GCF_000165395.1_ASM16539v1_genomic	GCF_000165395.1_ASM16539v1_genomic							supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047096405.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Escherichia_coli_E._coli_GCA_047852765.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
cyanobacterium_endosymbiont_of_Rhopalodia_inflata_cyanobacteria_GCA_050507555.1	cyanobacterium endosymbiont of Rhopalodia inflata		Cyanobacteriota					supervised
Azonexus_sp._IMCC34842_b-proteobacteria_GCF_050368855.1	Azonexus sp. IMCC34842		Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047446375.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Mycobacterium_sp._TJFP1_high_G+C_Gram-positive_bacteria_GCA_050368975.1	Mycobacterium sp. TJFP1		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	supervised
Caulobacteraceae_bacterium_a-proteobacteria_GCA_965284635.1	Caulobacteraceae bacterium		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		supervised
GCF_002220235.1_ASM222023v1_genomic	Bathycoccus prasinos		Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	supervised
uncultured_Bacteroidia_bacterium_CFB_group_bacteria_GCA_965284645.1	uncultured Bacteroidia bacterium		Bacteroidota	Bacteroidia				supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408105.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Enterococcus_casseliflavus_firmicutes_GCF_047801645.2	Enterococcus casseliflavus		Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	supervised
Microcystis_protocystis_FBCC-A270_cyanobacteria_GCF_050500235.1	Microcystis protocystis		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised
GCF_000328475.2_Umaydis521_2.0_genomic	Mycosarcoma maydis		Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	supervised
Sphingobacteriaceae_bacterium_CFB_group_bacteria_GCA_965284455.1	Sphingobacteriaceae bacterium		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae		supervised
Agrobacterium_vitis_a-proteobacteria_GCF_050500095.1	Agrobacterium vitis		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	supervised
GCF_000151665.1_ASM15166v1_genomic	Blastocystis hominis			Bigyra	Opalinata	Blastocystidae	Blastocystis	supervised
Klebsiella_pneumoniae_enterobacteria_GCF_048279315.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Proteus_mirabilis_enterobacteria_GCA_050516335.1	Proteus mirabilis		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	supervised
Klebsiella_pneumoniae_enterobacteria_GCF_965283175.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_variicola_enterobacteria_GCF_050500315.1	Klebsiella variicola		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047446505.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Xanthomonas_sacchari_g-proteobacteria_GCA_050408125.1	Xanthomonas sacchari		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Streptomyces_sp._P11-1_high_G+C_Gram-positive_bacteria_GCA_050516305.1	Streptomyces sp. P11-1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised
GCF_003144295.1_Acain1_genomic	Acaromyces ingoldii		Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	supervised
Lactobacillus_delbrueckii_subsp._bulgaricus_firmicutes_GCA_050516295.1	Lactobacillus delbrueckii		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	supervised
Streptomyces_albus_subsp._chlorinus_high_G+C_Gram-positive_bacteria_GCF_050367005.1	Streptomyces albus		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised
Brucella_sp._NF_2810_a-proteobacteria_GCF_050410765.1	Brucella sp. NF 2810		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	supervised
Sphingomonadaceae_bacterium_a-proteobacteria_GCA_965284665.1	Sphingomonadaceae bacterium		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		supervised
Escherichia_coli_E._coli_GCA_047852785.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
Pseudarthrobacter_sp._So.54_high_G+C_Gram-positive_bacteria_GCA_050422965.1	Pseudarthrobacter sp. So.54		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter	supervised
Microbulbifer_sp._MCCC_1A16149_g-proteobacteria_GCF_050368945.1	Microbulbifer sp. MCCC 1A16149		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	supervised
GCF_000002975.1_ASM297v1_genomic	Guillardia theta			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047446475.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_variicola_enterobacteria_GCF_050499735.1	Klebsiella variicola		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_050407985.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Tabrizicola_sp._a-proteobacteria_GCF_965284335.1	Tabrizicola sp.		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tabrizicola	supervised
Fulvivirga_sp._CFB_group_bacteria_GCA_965284555.1	Fulvivirga sp.		Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	supervised
Enterobacter_hormaechei_CDC_Enteric_Group_75_GCA_047327165.2	Enterobacter hormaechei		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	supervised
Synechocystis_sp._PCC_6803_cyanobacteria_GCF_050408035.1	Synechocystis sp. PCC 6803		Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	supervised
Neorhizobium_sp._IRS_2294_a-proteobacteria_GCF_050500145.1	Neorhizobium sp. IRS_2294		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Neorhizobium	supervised
GCF_000092065.1_ASM9206v1_genomic	Ostreococcus sp. 'lucimarinus'		Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	supervised
GCF_000003225.4_ASM322v1_genomic	Theileria annulata		Apicomplexa	Aconoidasida	Piroplasmida	Theileriidae	Theileria	supervised
Alteromonas_sp._4B03_g-proteobacteria_GCF_050500345.1	Alteromonas sp. 4B03		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	supervised
GCF_000442555.1_CFSAN001086_1.0_genomic	Paenibacillus alvei		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	supervised
Marinibacterium_sp._SX1_a-proteobacteria_GCF_050389775.1	Marinibacterium sp. SX1		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Marinibacterium	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_050408005.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047714045.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
GCF_002078855.1_ASM207885v1_genomic	Lactococcus lactis		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	supervised
Escherichia_coli_E._coli_GCA_050516365.1	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
GCF_000442595.1_ASM44259v1_genomic	Cycloclasticus zancles		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	supervised
Pseudomonas_aeruginosa_g-proteobacteria_GCF_050499175.1	Pseudomonas aeruginosa		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Propionibacterium_freudenreichii_high_G+C_Gram-positive_bacteria_GCF_050498605.1	Propionibacterium freudenreichii		Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propionibacterium	supervised
Citrobacter_sp._OP27_enterobacteria_GCA_050516505.1	Citrobacter sp. OP27		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	supervised
GCF_000143165.1_ASM14316v1_genomic	GCF_000143165.1_ASM14316v1_genomic							supervised
Klebsiella_pneumoniae_enterobacteria_GCF_965282925.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408075.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Escherichia_coli_E._coli_GCA_050516355.1	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
Streptomyces_sp._P10-4_high_G+C_Gram-positive_bacteria_GCF_050500215.1	Streptomyces sp. P10-4		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised
Bifidobacterium_dentium_high_G+C_Gram-positive_bacteria_GCF_050407865.1	Bifidobacterium dentium		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	supervised
Pseudomonas_aeruginosa_g-proteobacteria_GCF_050499725.1	Pseudomonas aeruginosa		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Campylobacter_coli_e-proteobacteria_GCA_032629085.2	Campylobacter coli		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	supervised
Klebsiella_pneumoniae_enterobacteria_GCF_046621105.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_pneumoniae_enterobacteria_GCF_050500305.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_050407975.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Sphingorhabdus_contaminans_a-proteobacteria_GCF_965284685.1	Sphingorhabdus contaminans		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Sphingorhabdus	supervised
Aeromonas_salmonicida_subsp._pectinolytica_g-proteobacteria_GCA_050516315.1	Aeromonas salmonicida		Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	supervised
Ferrovibrio_sp._a-proteobacteria_GCF_965284295.1	Ferrovibrio sp.		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Ferrovibrio	supervised
