accession	accession_full	species	superkingdom	phylum	class	order	family	genus	data_type	source
GCF_050500365.1	Bibersteinia_trehalosi_g-proteobacteria_GCF_050500365.1	Bibersteinia trehalosi		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Bibersteinia	supervised	NCBI_RefSeq
GCF_050500285.1	Fructilactobacillus_sp._Tb1_firmicutes_GCF_050500285.1	Fructilactobacillus sp. Tb1		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	supervised	NCBI_RefSeq
GCA_050500375.1	Pasteurella_multocida_g-proteobacteria_GCA_050500375.1	Pasteurella multocida		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	supervised	NCBI_GenBank
GCF_000165365.1	GCF_000165365.1_ASM16536v1_genomic	Theileria parva		Apicomplexa	Aconoidasida	Piroplasmida	Theileriidae	Theileria	supervised	NCBI_RefSeq
GCF_050507125.1	Providencia_huaxiensis_enterobacteria_GCF_050507125.1	Providencia huaxiensis		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	supervised	NCBI_RefSeq
GCF_050507335.1	Pseudomonas_piscis_g-proteobacteria_GCF_050507335.1	Pseudomonas piscis		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised	NCBI_RefSeq
GCF_050410825.1	Micromonospora_sp._JCM_30529_high_G+C_Gram-positive_bacteria_GCF_050410825.1	Micromonospora sp. JCM 30529		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	supervised	NCBI_RefSeq
GCF_965284575.1	Thalassospira_lucentensis_a-proteobacteria_GCF_965284575.1	Thalassospira lucentensis		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	supervised	NCBI_RefSeq
GCF_050506515.1	Klebsiella_pneumoniae_enterobacteria_GCF_050506515.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_RefSeq
GCA_965283335.1	Burkholderia_pseudomallei_b-proteobacteria_GCA_965283335.1	Burkholderia pseudomallei		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	supervised	NCBI_GenBank
GCA_050500355.1	Mannheimia_haemolytica_g-proteobacteria_GCA_050500355.1	Mannheimia haemolytica		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	supervised	NCBI_GenBank
GCF_018599045.2	Streptococcus_salivarius_firmicutes_GCF_018599045.2	Streptococcus salivarius		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	supervised	NCBI_RefSeq
GCA_050410845.1	Paraclostridium_tenue_firmicutes_GCA_050410845.1	Paraclostridium tenue		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	supervised	NCBI_GenBank
GCF_965284465.1	Parasphingorhabdus_sp._a-proteobacteria_GCF_965284465.1	Parasphingorhabdus sp.		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Parasphingorhabdus	supervised	NCBI_RefSeq
GCA_965284545.1	Flavobacterium_sp._CFB_group_bacteria_GCA_965284545.1	Flavobacterium sp.		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	supervised	NCBI_GenBank
GCA_965284395.1	Limisphaerales_bacterium_verrucomicrobia_GCA_965284395.1	Limisphaerales bacterium		Verrucomicrobiota	Verrucomicrobiia	Limisphaerales			supervised	NCBI_GenBank
GCF_050410805.1	Acidithiobacillus_ferrooxidans_proteobacteria_GCF_050410805.1	Acidithiobacillus ferrooxidans		Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	supervised	NCBI_RefSeq
GCF_050389785.1	Parelusimicrobium_proximum_bacteria_GCF_050389785.1	Parelusimicrobium proximum		Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Parelusimicrobium	supervised	NCBI_RefSeq
GCF_965282835.1	Candidatus_Methylopumilus_planktonicus_b-proteobacteria_GCF_965282835.1	Candidatus Methylopumilus planktonicus		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Candidatus Methylopumilus	supervised	NCBI_RefSeq
GCF_050499165.1	Comamonas_sediminis_b-proteobacteria_GCF_050499165.1	Comamonas sediminis		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	supervised	NCBI_RefSeq
GCA_965284495.1	Burkholderiaceae_bacterium_b-proteobacteria_GCA_965284495.1	Burkholderiaceae bacterium		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae		supervised	NCBI_GenBank
GCF_965284485.1	Maribacter_litoralis_CFB_group_bacteria_GCF_965284485.1	Maribacter litoralis		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	supervised	NCBI_RefSeq
GCF_050498615.1	Pseudomonas_aeruginosa_PAO1_g-proteobacteria_GCF_050498615.1	Pseudomonas aeruginosa		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised	NCBI_RefSeq
GCF_050407965.1	Lactiplantibacillus_pentosus_firmicutes_GCF_050407965.1	Lactiplantibacillus pentosus		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	supervised	NCBI_RefSeq
GCF_050500265.1	Gluconobacter_japonicus_a-proteobacteria_GCF_050500265.1	Gluconobacter japonicus		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	supervised	NCBI_RefSeq
GCF_000178055.1	GCF_000178055.1_ASM17805v1_genomic	Cutibacterium acnes		Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	supervised	NCBI_RefSeq
GCF_048551495.1	Glaesserella_parasuis_g-proteobacteria_GCF_048551495.1	Glaesserella parasuis		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Glaesserella	supervised	NCBI_RefSeq
GCF_050408155.1	Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408155.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_RefSeq
GCF_050410775.1	Pantoea_sp._FN060301_enterobacteria_GCF_050410775.1	Pantoea sp. FN060301		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	supervised	NCBI_RefSeq
GCF_050408055.1	Sphingomonas_sp._Xoc002_a-proteobacteria_GCF_050408055.1	Sphingomonas sp. Xoc002		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	supervised	NCBI_RefSeq
GCF_001293935.1	GCF_001293935.1_Por36_1_genomic	Pseudomonas coronafaciens		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised	NCBI_RefSeq
GCF_050367955.1	Lacticaseibacillus_rhamnosus_firmicutes_GCF_050367955.1	Lacticaseibacillus rhamnosus		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	supervised	NCBI_RefSeq
GCA_047446435.2	Klebsiella_pneumoniae_enterobacteria_GCA_047446435.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCF_000091205.1	GCF_000091205.1_ASM9120v1_genomic	Cyanidioschyzon merolae		Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	supervised	NCBI_RefSeq
GCF_000149245.1	GCF_000149245.1_CNA3_genomic	Cryptococcus neoformans		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	supervised	NCBI_RefSeq
GCF_965284525.1	Hydrogenophaga_sp._b-proteobacteria_GCF_965284525.1	Hydrogenophaga sp.		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	supervised	NCBI_RefSeq
GCF_000002435.1	GCF_000002435.1_GL2_genomic	GCF_000002435.1_GL2_genomic							supervised	NCBI_RefSeq
GCF_001700755.1	GCF_001700755.1_ASM170075v1_genomic	GCF_001700755.1_ASM170075v1_genomic							supervised	NCBI_RefSeq
GCF_050408145.1	Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408145.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_RefSeq
GCA_050517415.1	Pseudomonas_fulva_g-proteobacteria_GCA_050517415.1	Pseudomonas fulva		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised	NCBI_GenBank
GCA_047865785.2	Escherichia_coli_E._coli_GCA_047865785.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised	NCBI_GenBank
GCA_965284365.1	Phragmitibacter_sp._verrucomicrobia_GCA_965284365.1	Phragmitibacter sp.		Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Phragmitibacter	supervised	NCBI_GenBank
GCA_050516385.1	Escherichia_coli_E._coli_GCA_050516385.1	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised	NCBI_GenBank
GCF_050425265.1	Klebsiella_pneumoniae_enterobacteria_GCF_050425265.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_RefSeq
GCF_000497125.1	GCF_000497125.1_ASM49712v2_genomic	Spironucleus salmonicida		Fornicata		Diplomonadida	Hexamitidae	Spironucleus	supervised	NCBI_RefSeq
GCF_965284475.1	Hyphomonas_sp._a-proteobacteria_GCF_965284475.1	Hyphomonas sp.		Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas	supervised	NCBI_RefSeq
GCF_050408045.1	Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408045.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_RefSeq
GCF_050410795.1	Fontivita_pretiosa_bacteria_GCF_050410795.1	Fontivita pretiosa		Planctomycetota	Phycisphaerae	Tepidisphaerales		Fontivita	supervised	NCBI_RefSeq
GCA_050516495.1	Salmonella_enterica_enterobacteria_GCA_050516495.1	Salmonella enterica		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	supervised	NCBI_GenBank
GCA_050507505.1	Micromonospora_echinospora_high_G+C_Gram-positive_bacteria_GCA_050507505.1	Micromonospora echinospora		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	supervised	NCBI_GenBank
GCF_050389815.1	Streptomyces_sp._ACT015_high_G+C_Gram-positive_bacteria_GCF_050389815.1	Streptomyces sp. ACT015		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised	NCBI_RefSeq
GCA_050516445.1	Ralstonia_pseudosolanacearum_b-proteobacteria_GCA_050516445.1	Ralstonia pseudosolanacearum		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	supervised	NCBI_GenBank
GCF_050422935.1	Synechococcus_elongatus_M14.2_cyanobacteria_GCF_050422935.1	Synechococcus elongatus		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_050507685.1	Vibrio_alginolyticus_g-proteobacteria_GCF_050507685.1	Vibrio alginolyticus		Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	supervised	NCBI_RefSeq
GCF_965284615.1	Methyloversatilis_sp._b-proteobacteria_GCF_965284615.1	Methyloversatilis sp.		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	supervised	NCBI_RefSeq
GCF_050366995.1	Clostridium_butyricum_firmicutes_GCF_050366995.1	Clostridium butyricum		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	supervised	NCBI_RefSeq
GCF_040628475.2	Staphylococcus_sp._50Mo3-2_firmicutes_GCF_040628475.2	Staphylococcus sp. 50Mo3-2		Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	supervised	NCBI_RefSeq
GCF_965284595.1	Methylibium_petroleiphilum_b-proteobacteria_GCF_965284595.1	Methylibium petroleiphilum		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Methylibium	supervised	NCBI_RefSeq
GCA_050429535.1	Streptomyces_pseudogriseolus_high_G+C_Gram-positive_bacteria_GCA_050429535.1	Streptomyces pseudogriseolus		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised	NCBI_GenBank
GCF_033841795.2	Bacillus_cereus_group_sp._BfR-BA-01700_firmicutes_GCF_033841795.2	Bacillus cereus group sp. BfR-BA-01700		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	supervised	NCBI_RefSeq
GCF_000341285.1	GCF_000341285.1_ASM34128v1_genomic	Galdieria sulphuraria		Rhodophyta	Bangiophyceae	Galdieriales	Galdieriaceae	Galdieria	supervised	NCBI_RefSeq
GCF_000165395.1	GCF_000165395.1_ASM16539v1_genomic	GCF_000165395.1_ASM16539v1_genomic							supervised	NCBI_RefSeq
GCA_047096405.2	Klebsiella_pneumoniae_enterobacteria_GCA_047096405.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCA_047852765.2	Escherichia_coli_E._coli_GCA_047852765.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised	NCBI_GenBank
GCA_050507555.1	cyanobacterium_endosymbiont_of_Rhopalodia_inflata_cyanobacteria_GCA_050507555.1	cyanobacterium endosymbiont of Rhopalodia inflata		Cyanobacteriota					supervised	NCBI_GenBank
GCF_050368855.1	Azonexus_sp._IMCC34842_b-proteobacteria_GCF_050368855.1	Azonexus sp. IMCC34842		Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus	supervised	NCBI_RefSeq
GCA_047446375.2	Klebsiella_pneumoniae_enterobacteria_GCA_047446375.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCA_050368975.1	Mycobacterium_sp._TJFP1_high_G+C_Gram-positive_bacteria_GCA_050368975.1	Mycobacterium sp. TJFP1		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	supervised	NCBI_GenBank
GCA_965284635.1	Caulobacteraceae_bacterium_a-proteobacteria_GCA_965284635.1	Caulobacteraceae bacterium		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		supervised	NCBI_GenBank
GCF_002220235.1	GCF_002220235.1_ASM222023v1_genomic	Bathycoccus prasinos		Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	supervised	NCBI_RefSeq
GCA_965284645.1	uncultured_Bacteroidia_bacterium_CFB_group_bacteria_GCA_965284645.1	uncultured Bacteroidia bacterium		Bacteroidota	Bacteroidia				supervised	NCBI_GenBank
GCF_050408105.1	Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408105.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_RefSeq
GCF_047801645.2	Enterococcus_casseliflavus_firmicutes_GCF_047801645.2	Enterococcus casseliflavus		Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	supervised	NCBI_RefSeq
GCF_050500235.1	Microcystis_protocystis_FBCC-A270_cyanobacteria_GCF_050500235.1	Microcystis protocystis		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_000328475.2	GCF_000328475.2_Umaydis521_2.0_genomic	Mycosarcoma maydis		Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	supervised	NCBI_RefSeq
GCA_965284455.1	Sphingobacteriaceae_bacterium_CFB_group_bacteria_GCA_965284455.1	Sphingobacteriaceae bacterium		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae		supervised	NCBI_GenBank
GCF_050500095.1	Agrobacterium_vitis_a-proteobacteria_GCF_050500095.1	Agrobacterium vitis		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	supervised	NCBI_RefSeq
GCF_000151665.1	GCF_000151665.1_ASM15166v1_genomic	Blastocystis hominis			Bigyra	Opalinata	Blastocystidae	Blastocystis	supervised	NCBI_RefSeq
GCF_048279315.2	Klebsiella_pneumoniae_enterobacteria_GCF_048279315.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_RefSeq
GCA_050516335.1	Proteus_mirabilis_enterobacteria_GCA_050516335.1	Proteus mirabilis		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	supervised	NCBI_GenBank
GCF_965283175.1	Klebsiella_pneumoniae_enterobacteria_GCF_965283175.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_RefSeq
GCF_050500315.1	Klebsiella_variicola_enterobacteria_GCF_050500315.1	Klebsiella variicola		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_RefSeq
GCA_047446505.2	Klebsiella_pneumoniae_enterobacteria_GCA_047446505.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCA_050408125.1	Xanthomonas_sacchari_g-proteobacteria_GCA_050408125.1	Xanthomonas sacchari		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_GenBank
GCA_050516305.1	Streptomyces_sp._P11-1_high_G+C_Gram-positive_bacteria_GCA_050516305.1	Streptomyces sp. P11-1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised	NCBI_GenBank
GCF_003144295.1	GCF_003144295.1_Acain1_genomic	Acaromyces ingoldii		Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	supervised	NCBI_RefSeq
GCA_050516295.1	Lactobacillus_delbrueckii_subsp._bulgaricus_firmicutes_GCA_050516295.1	Lactobacillus delbrueckii		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	supervised	NCBI_GenBank
GCF_050367005.1	Streptomyces_albus_subsp._chlorinus_high_G+C_Gram-positive_bacteria_GCF_050367005.1	Streptomyces albus		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised	NCBI_RefSeq
GCF_050410765.1	Brucella_sp._NF_2810_a-proteobacteria_GCF_050410765.1	Brucella sp. NF 2810		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	supervised	NCBI_RefSeq
GCA_965284665.1	Sphingomonadaceae_bacterium_a-proteobacteria_GCA_965284665.1	Sphingomonadaceae bacterium		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		supervised	NCBI_GenBank
GCA_047852785.2	Escherichia_coli_E._coli_GCA_047852785.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised	NCBI_GenBank
GCA_050422965.1	Pseudarthrobacter_sp._So.54_high_G+C_Gram-positive_bacteria_GCA_050422965.1	Pseudarthrobacter sp. So.54		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter	supervised	NCBI_GenBank
GCF_050368945.1	Microbulbifer_sp._MCCC_1A16149_g-proteobacteria_GCF_050368945.1	Microbulbifer sp. MCCC 1A16149		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	supervised	NCBI_RefSeq
GCF_000002975.1	GCF_000002975.1_ASM297v1_genomic	Guillardia theta			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	supervised	NCBI_RefSeq
GCA_047446475.2	Klebsiella_pneumoniae_enterobacteria_GCA_047446475.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCF_050499735.1	Klebsiella_variicola_enterobacteria_GCF_050499735.1	Klebsiella variicola		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_RefSeq
GCA_050407985.1	Klebsiella_pneumoniae_enterobacteria_GCA_050407985.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCF_965284335.1	Tabrizicola_sp._a-proteobacteria_GCF_965284335.1	Tabrizicola sp.		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tabrizicola	supervised	NCBI_RefSeq
GCA_965284555.1	Fulvivirga_sp._CFB_group_bacteria_GCA_965284555.1	Fulvivirga sp.		Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	supervised	NCBI_GenBank
GCA_047327165.2	Enterobacter_hormaechei_CDC_Enteric_Group_75_GCA_047327165.2	Enterobacter hormaechei		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	supervised	NCBI_GenBank
GCF_050408035.1	Synechocystis_sp._PCC_6803_cyanobacteria_GCF_050408035.1	Synechocystis sp. PCC 6803		Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	supervised	NCBI_RefSeq
